,id,user_id,end_date,price,created_at,refund,target_customer
317,2977,9530,2019-11-23,100.0,2019-10-23,0,personal
318,2990,9346,2019-11-23,9900.0,2019-10-24,0,personal
319,2991,9355,2019-11-23,9900.0,2019-10-24,0,personal
320,2992,9368,2019-11-23,9900.0,2019-10-24,0,personal
321,2993,10777,2019-11-24,100.0,2019-10-24,0,personal
322,3021,6869,2019-11-24,9900.0,2019-10-25,0,personal
323,3022,6975,2019-11-24,9900.0,2019-10-25,0,personal
324,3023,4484,2019-11-24,9900.0,2019-10-25,0,personal
325,3024,9415,2019-11-24,9900.0,2019-10-25,0,personal
326,3025,9293,2019-11-24,9900.0,2019-10-25,0,personal
327,3028,10697,2019-11-25,100.0,2019-10-25,0,personal
328,3044,10828,2019-11-25,100.0,2019-10-25,0,personal
329,3049,9752,2019-11-25,100.0,2019-10-25,0,personal
330,3051,10857,2019-11-25,100.0,2019-10-25,0,personal
331,3058,8314,2019-11-25,9900.0,2019-10-26,0,personal
332,3061,10877,2019-11-26,100.0,2019-10-26,0,personal
333,3072,7026,2019-11-26,9900.0,2019-10-27,0,personal
334,3073,5950,2019-11-26,40000.0,2019-10-27,0,smallBiz
335,3075,10917,2019-11-27,100.0,2019-10-27,0,personal
336,3077,10928,2019-11-27,100.0,2019-10-27,0,personal
337,3080,10931,2019-11-27,100.0,2019-10-27,0,personal
338,3083,10902,2019-11-27,100.0,2019-10-27,0,personal
339,3090,10962,2019-11-27,100.0,2019-10-27,0,personal
340,3101,10973,2019-11-28,100.0,2019-10-28,0,personal
341,3108,6989,2019-11-27,9900.0,2019-10-28,0,personal
342,3109,8396,2019-11-27,9900.0,2019-10-28,0,personal
343,3110,9502,2019-11-27,49000.0,2019-10-28,0,smallBiz
344,3111,9515,2019-11-27,9900.0,2019-10-28,0,personal
345,3112,9524,2019-11-27,9900.0,2019-10-28,0,personal
346,3113,9529,2019-11-27,9900.0,2019-10-28,1.0,middleBiz
347,3167,10193,2019-11-28,19000.0,2019-10-28,0,smallBiz
348,3177,11031,2019-11-28,100.0,2019-10-28,0,personal
349,3179,8426,2019-11-28,9900.0,2019-10-29,0,personal
