,user_id,period_sub,total_fee,refund,personal,smallBiz,middleBiz,bigBiz,sign_in_count,period_use,sfx_free,sfx_peid,song_free,song_peid,etc,kids,vlog,story,beauty,review,talk,game,pet,eating,drone,corporate,freelancer,individual,student,unknown
2004,53229,41 days,9900.0,1.0,2,0,0,0,4.0,13 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2005,53230,100 days,29700.0,0.0,4,0,0,0,7.0,172 days,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2006,53248,14 days,0.0,0.0,1,0,0,0,10.0,131 days,3.0,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,53253,41 days,9900.0,0.0,2,0,0,0,3.0,8 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2008,53254,282 days,89100.0,1.0,10,0,0,0,37.0,359 days,11.0,18.0,10.0,32.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2009,53256,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,53275,14 days,0.0,0.0,1,0,0,0,2.0,0 days,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,53279,189 days,59400.0,1.0,7,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2012,53287,14 days,0.0,0.0,1,0,0,0,8.0,8 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2013,53321,14 days,0.0,0.0,1,0,0,0,2.0,0 days,3.0,0.0,4.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2014,53347,71 days,19800.0,0.0,3,0,0,0,3.0,49 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,53361,14 days,0.0,0.0,1,0,0,0,3.0,7 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2016,53362,14 days,0.0,0.0,1,0,0,0,4.0,11 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2017,53364,14 days,0.0,0.0,1,0,0,0,6.0,2 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,53365,71 days,19800.0,0.0,3,0,0,0,6.0,44 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2019,53371,265 days,44550.0,0.0,0,9,0,0,14.0,540 days,6.0,21.0,7.0,59.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020,53379,132 days,39600.0,0.0,5,0,0,0,36.0,119 days,0.0,9.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2021,53380,14 days,0.0,0.0,1,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022,53381,14 days,0.0,0.0,1,0,0,0,5.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023,53425,14 days,0.0,0.0,1,0,0,0,4.0,4 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2024,53430,744 days,181800.0,0.0,3,0,0,0,76.0,554 days,1.0,3.0,13.0,79.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2025,53432,278 days,89100.0,0.0,10,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2026,53435,14 days,0.0,0.0,1,0,0,0,3.0,3 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2027,53436,601 days,198000.0,0.0,21,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
2028,53443,14 days,0.0,0.0,1,0,0,0,4.0,61 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2029,53456,431 days,138600.0,0.0,16,0,0,0,24.0,349 days,0.0,2.0,0.0,14.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2030,53460,14 days,0.0,0.0,1,0,0,0,4.0,1 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2031,53506,165 days,49500.0,0.0,7,0,0,0,8.0,85 days,3.0,4.0,4.0,20.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2032,53512,14 days,0.0,0.0,1,0,0,0,3.0,27 days,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2033,53516,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2034,53526,130 days,39600.0,0.0,5,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2035,53528,14 days,0.0,0.0,1,0,0,0,6.0,1 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2036,53534,41 days,9900.0,0.0,2,0,0,0,4.0,3 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2037,53575,14 days,0.0,0.0,1,0,0,0,3.0,9 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2038,53583,374 days,1227600.0,0.0,5,0,1,0,15.0,171 days,7.0,53.0,14.0,13.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2039,53589,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2040,53590,14 days,0.0,0.0,1,0,0,0,3.0,8 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2041,53592,452 days,1108600.0,0.0,0,0,4,0,276.0,536 days,54.0,224.0,62.0,271.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2042,53614,37 days,9900.0,0.0,2,0,0,0,9.0,416 days,22.0,28.0,3.0,2.0,0.0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1
2043,53617,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2044,53618,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2045,53634,14 days,0.0,0.0,1,0,0,0,3.0,1 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2046,53641,71 days,19800.0,1.0,3,0,0,0,4.0,44 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2047,53642,100 days,29700.0,0.0,4,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
