,id,user_id,name,unsubscribed_at
111,946474,92697,Unsubscribe Request,2022-03-20
112,946481,92697,Unsubscribe Request,2022-03-20
113,946617,95266,Unsubscribe Request,2022-03-20
114,946619,95266,Unsubscribe Request,2022-03-20
115,948449,94285,Unsubscribe Request,2022-03-20
116,955585,91930,Unsubscribe Request,2022-03-20
117,955838,95215,Unsubscribe Request,2022-03-20
118,962057,94541,Unsubscribe Request,2022-03-20
119,966172,95254,Unsubscribe Request,2022-03-20
120,968495,74608,Unsubscribe Request,2022-03-20
121,970356,79452,Unsubscribe Request,2022-03-20
122,970359,79452,Unsubscribe Request,2022-03-20
123,970579,95532,Unsubscribe Request,2022-03-20
124,970581,95532,Unsubscribe Request,2022-03-20
125,970591,95532,Unsubscribe Request,2022-03-20
126,976363,78461,Unsubscribe Request,2022-03-21
127,978777,95558,Unsubscribe Request,2022-03-21
128,984761,95043,Unsubscribe Request,2022-03-21
129,984765,95043,Unsubscribe Request,2022-03-21
130,990184,95582,Unsubscribe Request,2022-03-21
131,990186,95582,Unsubscribe Request,2022-03-21
132,990187,95582,Unsubscribe Request,2022-03-21
133,990188,95582,Unsubscribe Request,2022-03-21
134,990274,95582,Unsubscribe Request,2022-03-21
135,998806,95598,Unsubscribe Request,2022-03-21
136,998807,95598,Unsubscribe Request,2022-03-21
137,1000720,92201,Unsubscribe Request,2022-03-21
138,1002521,91378,Unsubscribe Request,2022-03-21
139,1006527,45938,Unsubscribe Request,2022-03-22
140,1006702,76795,Unsubscribe Request,2022-03-22
141,1008695,87986,Unsubscribe Request,2022-03-22
142,1008697,87986,Unsubscribe Request,2022-03-22
143,1009192,92727,Unsubscribe Request,2022-03-22
144,1009598,78736,Unsubscribe Request,2022-03-22
145,1022419,83334,Unsubscribe Request,2022-03-22
146,1029270,58391,Unsubscribe Request,2022-03-22
147,1038657,95630,Unsubscribe Request,2022-03-23
148,1040891,46427,Unsubscribe Request,2022-03-23
149,1044105,79706,Unsubscribe Request,2022-03-23
150,1054492,95211,Unsubscribe Request,2022-03-23
151,1054497,95211,Unsubscribe Request,2022-03-23
152,1055674,94601,Unsubscribe Request,2022-03-23
153,1056872,95766,Unsubscribe Request,2022-03-23
154,1056875,95766,Unsubscribe Request,2022-03-23
155,1057785,57003,Unsubscribe Request,2022-03-23
156,1064217,93679,Unsubscribe Request,2022-03-23
157,1066711,95353,Unsubscribe Request,2022-03-24
158,1066713,95353,Unsubscribe Request,2022-03-24
159,1069459,92905,Unsubscribe Request,2022-03-24
160,1069838,92480,Unsubscribe Request,2022-03-24
161,1070588,95804,Unsubscribe Request,2022-03-24
162,1071734,95449,Unsubscribe Request,2022-03-24
163,1074385,95817,Unsubscribe Request,2022-03-24
164,1077290,94564,Unsubscribe Request,2022-03-24
165,1086927,95238,Unsubscribe Request,2022-03-24
166,1087583,94850,Unsubscribe Request,2022-03-24
167,1088001,68010,Unsubscribe Request,2022-03-24
168,1088010,68010,Unsubscribe Request,2022-03-24
169,1090882,86669,Unsubscribe Request,2022-03-25
170,1093028,62505,Unsubscribe Request,2022-03-25
171,1095902,92946,Unsubscribe Request,2022-03-25
172,1096710,95685,Unsubscribe Request,2022-03-25
173,1096711,95685,Unsubscribe Request,2022-03-25
174,1098458,69052,Unsubscribe Request,2022-03-25
175,1100329,95899,Unsubscribe Request,2022-03-25
176,1100331,95899,Unsubscribe Request,2022-03-25
177,1102116,95275,Unsubscribe Request,2022-03-25
178,1105327,95368,Unsubscribe Request,2022-03-25
179,1105329,95368,Unsubscribe Request,2022-03-25
180,1107241,95920,Unsubscribe Request,2022-03-25
181,1107243,95920,Unsubscribe Request,2022-03-25
182,1107244,95920,Unsubscribe Request,2022-03-25
183,1117154,95947,Unsubscribe Request,2022-03-26
184,1119187,87646,Unsubscribe Request,2022-03-26
185,1119408,93116,Unsubscribe Request,2022-03-26
186,1119917,23489,Unsubscribe Request,2022-03-26
187,1121044,89625,Unsubscribe Request,2022-03-26
188,1124782,94223,Unsubscribe Request,2022-03-26
189,1129981,96003,Unsubscribe Request,2022-03-26
190,1133476,96014,Unsubscribe Request,2022-03-26
191,1141357,93226,Unsubscribe Request,2022-03-27
192,1152800,60020,Unsubscribe Request,2022-03-27
193,1152814,60020,Unsubscribe Request,2022-03-27
194,1160987,24491,Unsubscribe Request,2022-03-27
195,1167486,68588,Unsubscribe Request,2022-03-28
196,1168606,18732,Unsubscribe Request,2022-03-28
197,1168607,18732,Unsubscribe Request,2022-03-28
198,1169259,22446,Unsubscribe Request,2022-03-28
199,1169429,24966,Unsubscribe Request,2022-03-28
200,1174193,57187,Unsubscribe Request,2022-03-28
201,1180066,47807,Unsubscribe Request,2022-03-28
202,1180070,47807,Unsubscribe Request,2022-03-28
203,1181741,94899,Unsubscribe Request,2022-03-28
204,1204593,96235,Unsubscribe Request,2022-03-29
205,1204611,96235,Unsubscribe Request,2022-03-29
206,1206916,68644,Unsubscribe Request,2022-03-29
207,1206954,88036,Unsubscribe Request,2022-03-29
208,1206955,88036,Unsubscribe Request,2022-03-29
209,1207061,70988,Unsubscribe Request,2022-03-29
210,1208587,91123,Unsubscribe Request,2022-03-29
211,1229198,96308,Unsubscribe Request,2022-03-29
212,1229200,96308,Unsubscribe Request,2022-03-29
213,1229209,96308,Unsubscribe Request,2022-03-29
214,1229210,96308,Unsubscribe Request,2022-03-29
215,1229212,96308,Unsubscribe Request,2022-03-29
216,1229213,96308,Unsubscribe Request,2022-03-29
217,1229214,96308,Unsubscribe Request,2022-03-29
218,1233365,95741,Unsubscribe Request,2022-03-29
219,1234042,96170,Unsubscribe Request,2022-03-29
220,1235194,96183,Unsubscribe Request,2022-03-30
221,1238772,95708,Unsubscribe Request,2022-03-30
222,1241368,77441,Unsubscribe Request,2022-03-30
223,1242179,82436,Unsubscribe Request,2022-03-30
224,1259933,94387,Unsubscribe Request,2022-03-30
225,1260528,85965,Unsubscribe Request,2022-03-30
226,1261882,75542,Unsubscribe Request,2022-03-30
227,1265611,95657,Unsubscribe Request,2022-03-31
228,1269018,96041,Unsubscribe Request,2022-03-31
229,1269020,96041,Unsubscribe Request,2022-03-31
230,1269021,96041,Unsubscribe Request,2022-03-31
231,1272857,90634,Unsubscribe Request,2022-03-31
232,1277170,95829,Unsubscribe Request,2022-03-31
233,1277473,88228,Unsubscribe Request,2022-03-31
234,1281315,96240,Unsubscribe Request,2022-03-31
235,1290224,96494,Unsubscribe Request,2022-03-31
236,1290225,96494,Unsubscribe Request,2022-03-31
237,1290227,96494,Unsubscribe Request,2022-03-31
238,1293179,96498,Unsubscribe Request,2022-03-31
239,1301878,96169,Unsubscribe Request,2022-04-01
240,1301881,96169,Unsubscribe Request,2022-04-01
241,1307609,36092,Unsubscribe Request,2022-04-01
242,1311919,25780,Unsubscribe Request,2022-04-01
243,1313563,93591,Unsubscribe Request,2022-04-01
244,1314159,28393,Unsubscribe Request,2022-04-01
245,1314277,28393,Unsubscribe Request,2022-04-01
246,1314280,28393,Unsubscribe Request,2022-04-01
247,1314281,28393,Unsubscribe Request,2022-04-01
248,1319614,94899,Unsubscribe Request,2022-04-01
249,1329123,95866,Unsubscribe Request,2022-04-02
250,1331051,96623,Unsubscribe Request,2022-04-02
251,1347397,96683,Unsubscribe Request,2022-04-02
252,1347467,96683,Unsubscribe Request,2022-04-02
253,1351832,85202,Unsubscribe Request,2022-04-03
254,1352610,96701,Unsubscribe Request,2022-04-03
255,1355722,60386,Unsubscribe Request,2022-04-03
256,1368969,89293,Unsubscribe Request,2022-04-03
257,1375584,96770,Unsubscribe Request,2022-04-04
258,1375643,73588,Unsubscribe Request,2022-04-04
259,1375644,73588,Unsubscribe Request,2022-04-04
260,1380565,96075,Unsubscribe Request,2022-04-04
261,1381270,95864,Unsubscribe Request,2022-04-04
262,1394516,96820,Unsubscribe Request,2022-04-04
263,1394522,96820,Unsubscribe Request,2022-04-04
264,1404496,58278,Unsubscribe Request,2022-04-04
265,1406303,96853,Unsubscribe Request,2022-04-04
266,1407524,96815,Unsubscribe Request,2022-04-04
267,1413915,93737,Unsubscribe Request,2022-04-05
268,1418205,96472,Unsubscribe Request,2022-04-05
269,1420132,93751,Unsubscribe Request,2022-04-05
270,1424582,96472,Unsubscribe Request,2022-04-05
271,1436363,96567,Unsubscribe Request,2022-04-05
